Polish,Ukrainian
jak,Як
I,І
jego,його
że,Що
on,він
było,був
dla,Для
na,на
są,є
zespół,команда
oni,Вони
być,бути
w,У
jeden,один
mieć,мати
tego,це
z,З
przez,За
gorący,гарячий
słowo,слово
ale,Але
co,Що
niektóre,дещо
jest,Є
to,це
ty,ви
lub,або
miał,мав
kilka,декілька
stopa,стоп
do,вниз
i,і
ciągnąć,Тягнути
w,У
my,ми
puszka,банк
na zewnątrz,зовнішній
inne,інший
były,були
który,котрий
zrobić,зробити
ich,їх
czas,час
jeśli,Якщо
będzie,буде
jak,Як
powiedział,він сказав
próba,спроба
każda,будь -який
powiedzieć,сказати
nie,НІ
zestaw,встановити
trzy,Три
chcą,вони хочуть
powietrze,повітря
dobrze,Гаразд
również,також
grać,грати
mały,невеликий
koniec,кінець
wkładać,вставляти
Strona główna,Домашній
czytaj,читати
ręka,рука
port,Гавань
duży,великий
zaklęcie,заклинання
dodać,Додати
nawet,навіть
ziemia,земля
tutaj,ось
musi,має
duży,великий
wysoki,високий
takie,такий
śledzić,відслідковувати
akt,Діяти
dlaczego,Чому
zapytaj,запитувати
mężczyźni,чоловіки
zmiana,Зміна
poszedł,вона пішла
światła,вогня
rodzaj,тип
z,З
potrzeba,потреба
dom,Будинок
obraz,картина
spróbuj,намагатися
nas,нас
ponownie,знову
zwierząt,тварини
punkt,точка
matka,мама
świat,світ
blisko,закривати
budować,побудувати
własny,власний
ziemia,земля
ojciec,батько
dowolny,будь -який
nowy,новачок
praca,Працювати
część,Привіт
wziąć,Взяти
dostać,отримати
miejsce,місце
wykonane,зроблений
żyć,життя
gdzie,Де
później,Пізніше
z powrotem,спинка
mało,мало
tylko,Просто
okrągły,круглий
mężczyzna,людина
rok,рік
spokojnie,Розслабитися
pokaż,показувати
każdy,всі
dobry,Добрий
mnie,Я
dać,давати
nasze,наш
pod,під
Nazwa,Назва
bardzo,Дуже
przez,За
tylko,Просто
formularz,форма
zdanie,думка
wielki,великий
myśleć,думати
powiedzieć,сказати
pomoc,допомога
niski,короткий
linia,лінія
różnią,відрізнятися
kolej,залізничний
przyczyna,спричинити
wiele,багато
oznaczać,середній
przed,Перед
ruch,рух
prawo,закон
chłopiec,хлопчик
stary,старий
zbyt,теж
sam,самотній
ona,Вона
wszystko,Все
tam,там
kiedy,Коли
w górę,вгору
zastosowanie,застосування
Twój,Ваш
sposób,шлях
o,про
wiele,багато
następnie,потім
im,їх
pisać,писати
byłoby,був би
jak,Як
tak,Так
te,ці
ją,Я
długo,довго
zrobić,зробити
rzecz,річ
zobaczyć,побачити
mu,його
dwa,два
ma,мати
szukać,доглядати
więcej,більше
dzień,День
może,Може бути
iść,йти
przyjść,прийти
nie,НІ
liczba,число
brzmieć,звук
nie,НІ
najbardziej,найбільший
ludzie,Люди
My,Ми
ponad,нагорі
wiem,я знаю
woda,вода
niż,ніж
wezwanie,закликати
pierwszy,перший
kto,ВООЗ
może,Може бути
w dół,Вниз
bok,бік
było,був
teraz,Тепер
odnaleźć,знаходити
głowa,голова
stać,бути
własna,власний
strona,бік
powinna,Вона повинна
kraj,країна
znaleziono,знайдений
odpowiedź,відповідати
szkoła,школа
rosnąć,рости
badanie,тест
jeszcze,нерухомий
uczyć się,вчити
roślin,рослини
okładka,покривати
jedzenie,їжа
słońce,сонце
cztery,чотири
między,між
stan,держави
zachować,тримати
oko,око
nigdy,Ніколи
ostatnia,остаточний
niech,дозволяти
myśli,думає
miasto,місто
drzewo,дерево
krzyż,перехрестя
gospodarstwo,господарство
trudne,важкий
początek,початок
moc,влада
historia,історія
piła,бачив
daleko,далеко
morze,море
rysować,малювати
w lewo,лівий
późno,пізній
Run,Пробігати
nie,НІ
podczas,в той час
naciśnij,пресувати
blisko,закривати
noc,нічний
prawdziwy,правдивий
życie,життя
kilka,декілька
północ,опівночі
książka,книга
nieść,перенести
wziął,він взяв
nauka,наука
jeść,їсти
pokój,кімната
przyjaciel,друг
rozpoczął,розпочався
pomysł,ідея
ryb,риба
góra,Гора
zatrzymać,СТІЙ
raz,раз
podstawa,базовий
słyszeć,чути
koń,коня
cięcie,різання
pewny,упевнений
oglądać,дивитися
kolor,забарвлення
twarz,обличчя
drewna,деревина
głównym,Головний
otwarte,ВІДЧИНЕНО
wydają,вони публікують
razem,Разом
następna,наступний
biały,білий
dzieci,дітям
zacząć,почати
got,Здобули
chodzić,йти
przykład,приклад
łatwość,полегшити
papier,паперовий
grupa,група
zawsze,Завжди
muzyka,музика
osób,Люди
zarówno,обидва
znak,підписувати
często,часто
list,літер
do,вниз
km,км
rzeka,річка
samochód,машина
stopy,стоп
opieka,турбота
drugi,другий
wystarczy,достатньо
zwykły,звичайний
dziewczyna,дівчинка
zwykły,звичайний
młody,молодий
gotowe,готовий
powyżej,нагорі
kiedykolwiek,щоразу
czerwony,червоний
lista,список
chociaż,хоч
czuć,відчуття
dyskusja,обговорення
ptaka,птах
wkrótce,скоро
ciało,тіло
pies,пес
rodzina,сім'я
bezpośrednie,прямий
stanowią,складати
zostawić,залишити
piosenka,пісня
pomiaru,вимірювання
drzwi,дверима
Produkt,Продукт
czarny,чорний
krótki,короткий
liczebnik,чисельний
Klasa,Клас
wiatr,вітер
pytanie,питання
stanie,держави
pełna,наповнений
statek,корабель
obszar,область
połowa,половина
skalny,скеля
zamówienie,наказ
ogień,вогонь
południe,південь
problem,проблема
sztuk,штук
powiedział,він сказав
wiedział,він знав
przekazać,пройти
od,З
góry,гори
cały,цілий
król,Король
ulica,вулиця
cal,дюйм
mnożenie,множення
nic,ніщо
Oczywiście,Звичайно
pobyt,залишатися
koło,колесо
pełna,наповнений
siła,примушувати
niebieski,блакитний
obiekt,об'єкт
zdecydować,вирішити
powierzchnia,поверхня
głęboko,глибокий
księżyc,місяць
wyspa,острів
stopa,стоп
System,Система
zajęty,зайнятий
próba,спроба
rekord,запис
łódź,Łódź
wspólny,загальний
złota,золото
możliwe,Це можливо
samolot,площина
siona,сірий
suche,сухий
"zastanawiam się,","Я задаюся питанням,"
śmiech,сміх
tysiąc,тисяча
temu,тому
Ran,Поранення
sprawdź,перевіряти
gra,грі
kształt,Форма
zrównać,рівень
gorący,гарячий
panna,Незайманий
wniesiona,приносять
ciepło,зігрівати
śnieg,сніг
opon,шини
przynieść,приносити
tak,Так
odległy,далекий
napełniać,наповнювати
wschód,схід
malować,малювати
język,Язик
między,між
jednostka,одиниця
moc,влада
miasto,місто
dobrze,Гаразд
pewny,упевнений
latać,літати
spadek,зменшувати
prowadzić,вести
krzyk,кричати
ciemny,темний
maszyna,машина
uwaga,Увага
czekać,чекати
planie,планувати
rysunek,малювання
gwiazda,зірка
Skrzynka,Коробка
rzeczownik,іменник
pole,поле
reszta,відпочинок
poprawny,виправляти
zdolny,здатний
funt,клопоти
gotowe,готовий
urody,краса
napęd,драйв
stał,сталь
zawierają,містити
z przodu,перед
uczyć,навчати
tydzień,тиждень
ostateczna,остаточний
dał,дав
zielony,зелений
oh,он
szybki,швидкий
rozwijać,розвивати
ocean,океан
ciepły,зігрівати
za darmo,безкоштовно
minut,хвилини
silny,сильний
Specjalne,Спеціальний
umysł,розум
za,за
jasne,Звичайно
ogon,хвіст
produkować,виробляти
fakt,факт
przestrzeń,простір
słyszałem,Я чув
najlepszy,найкраще
godzina,час
lepiej,Краще
prawdziwy,правдивий
podczas,в той час
sto,сотня
pięć,п'ять
pamiętaj,Запам'ятати
krok,крок
wcześnie,ранній
przytrzymaj,постривай
zachód,Захід
ziemia,земля
odsetki,інтерес
dotrzeć,прибути
szybko,Швидкий
czasownik,дієслово
śpiewać,співати
słuchać,слухати
sześć,шість
stół,стіл
podróży,мандрівка
mniej,менше
rano,вранці
dziesięć,десять
proste,легкий
kilka,декілька
samogłoska,голосний
kierunku,напрямок
wojna,війна
świeckich,світський
przed,Перед
wzór,схема
powolny,повільно
centrum,центр
miłość,любов
osoba,людина
pieniądze,гроші
służyć,подавати
pojawiają się,виникати
drogowego,дорога
Mapa,Карта
deszcz,дощ
reguła,правити
rządzić,керувати
ciągnąć,Тягнути
zimno,Холодний
ogłoszenie,оголошення
głos,голос
energii,енергія
polowanie,полювання
prawdopodobne,ймовірно
łóżko,ліжко
brat,брат
jajko,яйце
jazda,їздити
komórek,клітини
wierzyć,вірити
być może,може бути
wybrać,вибирати
nagły,раптово
liczyć,розраховувати
plac,місце
powodem,розум
długość,довжина
stanowią,складати
sztuka,шматок
Temat,Тема
Region,Область
rozmiar,розмір
różnią,відрізнятися
osiedlenie,врегулювання
mówić,говорити
waga,Терези
ogólnie,загалом
lód,крижаний
"względu na to,",щодо цього
krąg,кола
para,пара
zawierać,містити
podzielić,ділити
sylaby,склади
filc,фетх
wielki,великий
piłka,куля
jeszcze,нерухомий
fala,махати
upuścić,опускатися
serce,серце
am,Амор
Niniejszy,Нинішній
ciężki,важкий
taniec,танцювати
silnik,двигун
stanowisko,позиція
ramię,рукоятка
szeroki,широкий
żagiel,плавати
materiał,матеріал
frakcja,частка
las,лісовий
siedzieć,сидіти
wyścig,гонка
okno,вікно
sklep,магазин
lato,літо
pociąg,дістатися
sen,мріяти
dowieść,доводити
samotny,самотній
mecz,грі
ćwiczenie,вправа
ściana,стіна
catch,Виловити
mocowanie,кріплення
chcieć,хотіти
niebo,небо
wyżywienie,їжа
radość,радість
zima,Зима
nasyconym,насичений
napisane,написаний
dziki,дивний
instrument,інструмент
